time,v(vin),v(vout),i(input),i(r1)
0.000060732374999999885,1,0.453829211588793,-0.000546170788411207,0.000546170788411207
0.00006123237499999988,1,0.45655325542126785,-0.0005434467445787322,0.0005434467445787321
0.00006173237499999988,1,0.459263713000214,-0.000540736286999786,0.000540736286999786
0.00006223237499999988,1,0.4619606520874946,-0.0005380393479125054,0.0005380393479125054
0.00006273237499999988,1,0.46464414010700833,-0.0005353558598929916,0.0005353558598929917
0.00006323237499999988,1,0.4673142441463749,-0.0005326857558536251,0.0005326857558536251
0.00006373237499999988,1,0.46997103095861237,-0.0005300289690413876,0.0005300289690413876
0.00006423237499999987,1,0.47261456696380627,-0.0005273854330361937,0.0005273854330361938
0.00006473237499999987,1,0.47524491825076975,-0.0005247550817492302,0.0005247550817492302
0.00006523237499999987,1,0.477862150578696,-0.000522137849421304,0.000522137849421304
0.00006573237499999987,1,0.4804663293788023,-0.0005195336706211977,0.0005195336706211977
0.00006623237499999987,1,0.4830575197559654,-0.0005169424802440347,0.0005169424802440346
0.00006673237499999987,1,0.48563578649034955,-0.0005143642135096505,0.0005143642135096504
0.00006723237499999987,1,0.48820119403902607,-0.0005117988059609739,0.0005117988059609739
0.00006773237499999986,1,0.4907538065375845,-0.0005092461934624156,0.0005092461934624156
0.00006823237499999986,1,0.49329368780173616,-0.0005067063121982639,0.0005067063121982638
0.00006873237499999986,1,0.49582090132890955,-0.0005041790986710905,0.0005041790986710905
0.00006923237499999986,1,0.4983355102998377,-0.0005016644897001623,0.0005016644897001623
0.00006973237499999986,1,0.5008375775801378,-0.0004991624224198622,0.0004991624224198622
0.00007023237499999986,1,0.5033271657218827,-0.0004966728342781173,0.0004966728342781173
0.00007073237499999986,1,0.505804336965165,-0.0004941956630348349,0.0004941956630348349
0.00007123237499999986,1,0.5082691532396528,-0.0004917308467603472,0.0004917308467603472
0.00007173237499999985,1,0.5107216761661383,-0.0004892783238338617,0.0004892783238338617
0.00007223237499999985,1,0.5131619670580777,-0.00048683803294192226,0.0004868380329419223
0.00007273237499999985,1,0.5155900869231246,-0.0004844099130768754,0.00048440991307687544
0.00007323237499999985,1,0.5180060964646551,-0.00048199390353534485,0.00048199390353534485
0.00007373237499999985,1,0.5204100560832854,-0.00047958994391671464,0.0004795899439167146
0.00007423237499999985,1,0.5228020258783813,-0.0004771979741216187,0.00047719797412161866
0.00007473237499999985,1,0.5251820656495615,-0.0004748179343504385,0.0004748179343504385
0.00007523237499999984,1,0.5275502348981921,-0.000472449765101808,0.0004724497651018079
